row_number,gene_symbol,missing_values,missing_percent,is_duplicate_gene_symbol
0,<missing_gene_symbol>,0,0.0,False
1,<missing_gene_symbol>,0,0.0,False
2,UBE2Q2P2,0,0.0,False
3,HMGB1P1,0,0.0,False
4,<missing_gene_symbol>,0,0.0,False
5,<missing_gene_symbol>,514,100.0,False
6,<missing_gene_symbol>,0,0.0,False
7,RNU12-2P,0,0.0,False
8,SSX9P,0,0.0,False
9,<missing_gene_symbol>,514,100.0,False
10,EZHIP,0,0.0,False
11,EFCAB8,0,0.0,False
12,SRP14P1,0,0.0,False
13,<missing_gene_symbol>,0,0.0,False
14,TRIM75P,0,0.0,False
15,SPATA31B1P,0,0.0,False
16,REXO1L6P,0,0.0,False
17,SDR16C6P,514,100.0,False
18,<missing_gene_symbol>,0,0.0,False
19,<missing_gene_symbol>,0,0.0,False
20,<missing_gene_symbol>,0,0.0,False
21,<missing_gene_symbol>,0,0.0,False
22,HSPB1P1,0,0.0,False
23,PPBPP1,514,100.0,False
24,<missing_gene_symbol>,0,0.0,False
25,ANKRD20A20P,0,0.0,False
26,<missing_gene_symbol>,0,0.0,False
27,GTPBP6,0,0.0,False
28,EFCAB12,0,0.0,False
29,A1BG,0,0.0,False
30,A1CF,0,0.0,False
31,A2BP1,0,0.0,False
32,A2LD1,0,0.0,False
33,A2M,0,0.0,False
34,A2ML1,0,0.0,False
35,A4GALT,0,0.0,False
36,A4GNT,0,0.0,False
37,AAA1,0,0.0,False
38,AAAS,0,0.0,False
39,AACS,0,0.0,False
40,AACSL,0,0.0,False
41,AADAC,0,0.0,False
42,AADACL2,0,0.0,False
43,AADACL3,0,0.0,False
44,AADACL4,0,0.0,False
45,AADAT,0,0.0,False
46,AAGAB,0,0.0,False
47,AAK1,0,0.0,False
48,AAMP,0,0.0,False
49,AANAT,0,0.0,False
50,AARS,0,0.0,False
51,AARS2,0,0.0,False
52,AARSD1,0,0.0,False
53,AASDH,0,0.0,False
54,AASDHPPT,0,0.0,False
55,AASS,0,0.0,False
56,AATF,0,0.0,False
57,AATK,0,0.0,False
58,ABAT,0,0.0,False
59,ABCA10,0,0.0,False
60,ABCA1,0,0.0,False
61,ABCA11P,0,0.0,False
62,ABCA12,0,0.0,False
63,ABCA13,0,0.0,False
64,ABCA17P,0,0.0,False
65,ABCA2,0,0.0,False
66,ABCA3,0,0.0,False
67,ABCA4,0,0.0,False
68,ABCA5,0,0.0,False
69,ABCA6,0,0.0,False
70,ABCA7,0,0.0,False
71,ABCA8,0,0.0,False
72,ABCA9,0,0.0,False
73,ABCB10,0,0.0,False
74,ABCB11,0,0.0,False
75,ABCB1,0,0.0,False
76,ABCB4,0,0.0,False
77,ABCB5,0,0.0,False
78,ABCB6,0,0.0,False
79,ABCB7,0,0.0,False
80,ABCB8,0,0.0,False
81,ABCB9,0,0.0,False
82,ABCC10,0,0.0,False
83,ABCC11,0,0.0,False
84,ABCC12,0,0.0,False
85,ABCC13,0,0.0,False
86,ABCC1,0,0.0,False
87,ABCC2,0,0.0,False
88,ABCC3,0,0.0,False
89,ABCC4,0,0.0,False
90,ABCC5,0,0.0,False
91,ABCC6,0,0.0,False
92,ABCC6P1,0,0.0,False
93,ABCC6P2,0,0.0,False
94,ABCC8,0,0.0,False
95,ABCC9,0,0.0,False
96,ABCD1,0,0.0,False
97,ABCD2,0,0.0,False
98,ABCD3,0,0.0,False
99,ABCD4,0,0.0,False
100,ABCE1,0,0.0,False
101,ABCF1,0,0.0,False
102,ABCF2,0,0.0,False
103,ABCF3,0,0.0,False
104,ABCG1,0,0.0,False
105,ABCG2,0,0.0,False
106,ABCG4,0,0.0,False
107,ABCG5,0,0.0,False
108,ABCG8,0,0.0,False
109,ABHD10,0,0.0,False
110,ABHD11,0,0.0,False
111,ABHD12,0,0.0,False
112,ABHD12B,0,0.0,False
113,ABHD13,0,0.0,False
114,ABHD14A,0,0.0,False
115,ABHD14B,0,0.0,False
116,ABHD15,0,0.0,False
117,ABHD1,0,0.0,False
